ID,vernacular
d354b2c452204ee1a9fc3fab810c79da,green rice leafhopper
977d9b1980b249c4a021b877b2a0c965,brown rice planthopper
66240662bfea4496b1c52bb524dd05d5,mirid
d50a1033c8c3457da3a31dd7e94a823c,mirid
a86d59152212404d8a2d72397f25cf95,geometric noctuid
10154f80e803421990ef798a0007376e,rice caseworm
cb92eeb7ede24cd7a53b438c3d29834e,rice armyworm
6857f674ffd044ec99d7003d96cc38c7,rice leafroller
ab68ce2cbe6344c58b083af33c38c891,grasshopper
3b15a6328ad64c3f87f0bd6c7009f8d2,thrips
9b9cb568ad6e4ef5ba7e39a4a24c6d07,Rose
872217a6cbaa4f6c9c6ba8aa584220ed,Screw pine
b4664142f6c54647bb043104d701cf91,pandanus beetle
622d735e88d34634adf753e3bd501d8c,spaeth pandanus beetle
0a35715070ef40ff9aa4c25f6aa10c53,pandanus mealybug
d4dfb79f978947fca95dd81f81910be6,mealybug
94fa55d5e57c48cf83147eb4942132b0,planthopper
c17c651f25c14882a802eeaa5a49ce34,planthopper
c54141629a5049eda7034c18a7f98f05,planthopper
df5fd44c346748dd8645ea8ae2acb5ee,planthopper
41747cf65b28499287475fb6f406ddfc,mealybug
87c2b42cc92348ff8b01934faccd4179,planthopper
7862869d897d45abb0b5149be1d96507,scale
dfcf5fc7521d41b98605ffe6bd473e0d,mealybug
d20fa90f4cf143919583646e666c9c0b,derbid planthopper
1aa743b487664ac6a1529c64a7d7761b,planthopper
1c31133ac75b4713a656aa2e84f30035,mealybug
c7682dd3b16d49b1bc6087545c5000d9,leafhopper
45c51a0d3dcc4a40b18ebfed4d15d881,esaki mealybug
07233fb45dc94974a2a04af79695a123,planthopper
2b3e7a6b72f3475abdd95d80a094cc3e,moth
739fdd4b8ea04afeafae0fc3603c23f8,pandanus stick insect
45aa459257ad4f97b8ea98fbe39297ac,Sea grape
a34f452a70474fe88f1773346a60598b,Sorghum
f76df2ee3da34032947394a6f7d4c232,gray sugarcane mealybug
1dce40d66eb64ea4aa5f9692669efb5d,sugarcane whitefly
bb3a79494eb24f8ea55bb3e335f2f319,Soursop
dec9625df6c84029b27c5586bfa67f48,nigra scale
157976c2df464b74ba1099cd56055646,green tropiduchid
c7ad1c916c7141418cce4540e6fc0228,palau scale
ae06efedbe9649e1b0b71e41cd2c8cb1,sweetsop
4db9a8969889477ea2968c488b7baf87,Sugar cane
750fb9fbe9944cfab5be0426031ff5ca,rufous sugarcane beetle
27a172f8910044c7adec7043f6344d3a,darkling beetle
49a2315fbfb74a929929da1ac6c49cab,sugarcane scale
a7eb60a54fb04128a6a8989041a88862,scale
97cd7457d2ba46aca91aa2a4faba634e,grass snout hopper
95499ae30613422ca5ab1dc739d627d2,delphacid planthopper
60a82ebf57fd410ea2e336025cacb374,scale
1c0a64a5a3974bcea14647ae1ca82ed7,scale
7009b818af5046bd86778877bfd2f264,sugarcane leafhopper
fa16c803a4a9473a920f45e2e0a6dbae,Sweet potato
4764e8bc706a478fbeddabfdff29b9df,five-green-lined weevil
da8b54b6025041aebdc095ebadad7ff6,leaf beetle
7b54a50ffd2b43829e1ffefe706a2584,west indian sweetpotato weevil
0444e0dc9add4c26bd1d738dc9262d20,palau sweetpotato weevil
658efe160c6049dc8faf9a90a729e760,sweetpotato weevil
df29f546323f436f904540c8b83e3fd0,sweetpotato flea beetle
9200b52017ca4d5d913740eeacea7ba7,green tortoise beetle
c7504dd2a8f74f789ae1009ac8decd00,bug
9a7ab749bb804ce7ac4752bab05ce510,scale
afdcea55b276410298e9aa0e1c3582da,nippon sweetpotato moth
343868eb91af449c8485c630e397b986,meadow argus
a635c7e7a86b4d70886068874f2639ac,blue moon butterfly
bcfdd0adbe7344c09cd273cbee9f2362,hawk moth
9ff4ceefd18c4952a8c1e4748485d90e,mole cricket
505000344af24ce4b40bfce0b336eb35,Taro Colocasia
fbbcc90fff7a428cb72b08117a10e2a1,weevil
e0e95cca067841feb6c34cbc827bb176,taro leafhopper
3d6cced3408d408aa0b56b6b5e63f617,taro sphinx-moth
14432a8b99454177b8561ba640aae578,narrow-winged sphinx moth
c634dbef9d8a4e499f589cbe58e74978,Taro Cyrtosperma
d5805140aa11481a9079a6c382663f94,mealybug
4965829e009247e49537f7f10957753f,Tomato
85086eeeac3a43a3b9a97a7ff2d50bcf,tomato bug
545790842048408bb4201caaf12e54ce,leafhopper
b75b728a89b84e26a4267366faac2033,Tropical almond
116b296a0134473dbb43ed07f809330a,weevil
d4730a22d40a46f299c8ff1df4505f3c,kirkaldy whitefly
14c9c8febc92492eb371bfc56491e33b,myrobalan butterfly
d306d95564c148a6ac36c0b50eb41b75,moth
7e42fff30b2d4ab6bf2109478641ad14,Wing bean
338d8f3eb2404e4390c745a62c6cfbab,vegetable mite
019b64c3980c443c8bb814d94f6b1857,Yams
22cd5092082b4ba99c8fc7baf1edc54c,yam hawk moth
