canonical_form,classification_path,classification_path_ids,classification_path_ranks,current_name_string,current_taxon_id,data_source_id,data_source_title,data_sources_number,edit_distance,global_id,gni_uuid,imported_at,in_curated_sources,is_known_name,local_id,match_type,match_value,name_string,prescore,score,supplied_name_string,taxon_id,url
Hemiberlesia lataniae,Animalia|Arthropoda|Insecta|Hemiptera|Diaspididae|Hemiberlesia|Hemiberlesia lataniae,1|54|216|809|4521|2083865|2083970,kingdom|phylum|class|order|family|genus|species,"Hemiberlesia lataniae (Signoret, 1869)",2083970,11,GBIF Backbone Taxonomy,24,0,,340b2aa3-cd61-5be8-a287-066e98df3973,2016-11-13T22:05:46Z,True,True,,2,Exact match by canonical form,"Hemiberlesia lataniae Cockerell, 1905",3|0|0,0.988,Agave sisalana,8101696,
Aspidiotus destructor,Animalia|Arthropoda|Insecta|Hemiptera|Diaspididae|Aspidiotus|Aspidiotus destructor,1|54|216|809|4521|5161675|7927609,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,eb9f5693-ce9f-5992-bb06-8a27bfcb0584,2016-11-13T20:01:45Z,True,True,,2,Exact match by canonical form,"Aspidiotus destructor Cockerell in Fernald, 1903",3|0|0,0.988,Agave sisalana,7927609,
Pseudococcus longispinus,Animalia|Arthropoda|Insecta|Hemiptera|Pseudococcidae|Pseudococcus|Pseudococcus longispinus,1|54|216|809|4534|2081087|2095283,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,2349df48-21f4-5621-845c-fdec5ebda851,2016-11-13T20:22:08Z,True,True,,2,Exact match by canonical form,"Pseudococcus longispinus (Targioni Tozzetti, 1867)",3|0|0,0.988,Agave sisalana,2095283,
Icerya seychellarum,Animalia|Arthropoda|Insecta|Hemiptera|Margarodidae|Icerya|Icerya seychellarum,1|54|216|809|8651|2080538|4484675,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,1bb03d1f-18dc-59fa-9f78-d08aa0520e7d,2016-11-13T20:04:31Z,True,True,,2,Exact match by canonical form,"Icerya seychellarum Maskell, 1897",3|0|0,0.988,Agave sisalana,4484675,
Aspidiotus spinosus,Animalia|Arthropoda|Insecta|Hemiptera|Diaspididae|Oceanaspidiotus|Oceanaspidiotus spinosus,1|54|216|809|4521|2083618|7688159,kingdom|phylum|class|order|family|genus|species,"Oceanaspidiotus spinosus (Comstock, 1883)",7688159,11,GBIF Backbone Taxonomy,24,0,,bc83a41f-7feb-511b-a86e-a6e53b5b0811,2016-11-13T22:23:45Z,True,True,,2,Exact match by canonical form,"Aspidiotus spinosus Cockerell, 1895",3|0|0,0.988,Agave sisalana,8329867,
Icerya aegyptiaca,Animalia|Arthropoda|Insecta|Hemiptera|Margarodidae|Icerya|Icerya aegyptiaca,1|54|216|809|8651|2080538|2080604,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,08a30592-ba1f-54a1-8a57-fead84269b38,2016-11-13T20:04:31Z,True,True,,2,Exact match by canonical form,"Icerya aegyptiaca (Douglas, 1890)",3|0|0,0.988,Agave sisalana,2080604,
Selenothrips rubrocinctus,Animalia|Arthropoda|Insecta|Thysanoptera|Thripidae|Selenothrips|Selenothrips rubrocinctus,1|54|216|1228|4387|1420800|1420801,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,5fa4c862-a17b-5b03-b6d1-c8c99a60fe30,2016-11-13T19:07:27Z,True,True,,2,Exact match by canonical form,"Selenothrips rubrocinctus (Giard, 1901)",3|0|0,0.988,Agave sisalana,1420801,
Bambusa,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Bambusa,6|7707728|196|1369|3073|7967307,kingdom|phylum|class|order|family|genus,,,11,GBIF Backbone Taxonomy,24,0,,5ed044e4-0046-594e-ac8c-00c89290eda5,2016-11-13T19:33:45Z,True,True,,2,Exact match by canonical form,Bambusa Mutis ex Caldas,1|0|0,0.75,Agave sisalana,7967307,
Anomala sulcatula,Animalia|Arthropoda|Insecta|Coleoptera|Rutelidae|Anomala|Anomala sulcatula,1|54|216|1470|4425773|1051129|5988462,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,b1f5bf0c-5fbb-5b2f-abfd-be41bbaf0df1,2016-11-13T23:00:30Z,True,True,,2,Exact match by canonical form,"Anomala sulcatula Burmeister, 1844",3|0|0,0.988,Agave sisalana,5988462,
Chlorophorus annularis,Animalia|Arthropoda|Insecta|Coleoptera|Cerambycidae|Chlorophorus|Chlorophorus annularis,1|54|216|1470|5602|1111662|1111797,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,90413cbf-c0ae-57b6-a7af-561df2fd16e8,2016-11-13T20:23:11Z,True,True,,2,Exact match by canonical form,"Chlorophorus annularis (Fabricius, 1787)",3|0|0,0.988,Agave sisalana,1111797,
