acceptedScientificName,acceptedScientificNameID,class,data_source_title,family,genus,is_known_name,kingdom,order,phylum,scientificName,scientificNameID,species,supplied_name_string
"Heliothrips haemorrhoidalis (Bouché, 1833)",1420795,Insecta,GBIF Backbone Taxonomy,Thripidae,Heliothrips,True,Animalia,Thysanoptera,Arthropoda,"Heliothrips haemorrhoidalis (Bouché, 1833)",1420795,Heliothrips haemorrhoidalis,Heliothrips haemorrhoidalis
Artocarpus altilis (Parkinson ex F.A.Zorn) Fosberg,2984573,Magnoliopsida,GBIF Backbone Taxonomy,Moraceae,Artocarpus,False,Plantae,Rosales,Tracheophyta,Artocarpus altilis (Parkinson ex F.A.Zorn) Fosberg,2984573,Artocarpus altilis,Artocarpus altitis
"Ceresium unicolor (Fabricius, 1787)",4293080,Insecta,GBIF Backbone Taxonomy,Cerambycidae,Ceresium,True,Animalia,Coleoptera,Arthropoda,"Ceresium unicolor (Fabricius, 1787)",4293080,Ceresium unicolor,Ceresium unicolor
"Aclees porosus Pascoe, F.P., 1871",7628238,Insecta,GBIF Backbone Taxonomy,Curculionidae,Aclees,True,Animalia,Coleoptera,Arthropoda,"Aclees porosus Pascoe, F.P., 1871",7628238,Aclees porosus,Aclees porosus
"Bactrocera umbrosa (Fabricius, 1805)",7690887,Insecta,GBIF Backbone Taxonomy,Tephritidae,Bactrocera,True,Animalia,Diptera,Arthropoda,"Dacus umbrosus Fabricius, 1805",1627255,Bactrocera umbrosa,Dacus umbrosus
"Bactrocera frauenfeldi (Schiner, 1868)",5087454,Insecta,GBIF Backbone Taxonomy,Tephritidae,Bactrocera,True,Animalia,Diptera,Arthropoda,"Dacus frauenfeldi Schiner, 1868",1627089,Bactrocera frauenfeldi,Dacus frauenfeldi
"Andaspis punicae (Laing, 1929)",7631004,Insecta,GBIF Backbone Taxonomy,Diaspididae,Andaspis,True,Animalia,Hemiptera,Arthropoda,"Andaspis punicae Hall, 1946",2088609,Andaspis punicae,Andaspis punicae
"Coccus moestus De Lotto, 1959",5163234,Insecta,GBIF Backbone Taxonomy,Coccidae,Coccus,True,Animalia,Hemiptera,Arthropoda,"Coccus moestus De Lotto, 1959",5163234,Coccus moestus,Coccus moestus
"Vinsonia stellifera (Westwood, 1871)",5163542,Insecta,GBIF Backbone Taxonomy,Coccidae,Vinsonia,True,Animalia,Hemiptera,Arthropoda,"Vinsonia stellifera Douglas, 1888",8108949,Vinsonia stellifera,Vinsonia stellifera
"Chrysomphalus aonidum (Linnaeus, 1758)",8026254,Insecta,GBIF Backbone Taxonomy,Diaspididae,Chrysomphalus,True,Animalia,Hemiptera,Arthropoda,"Chrysomphalus aonidum (Linnaeus, 1758)",8026254,Chrysomphalus aonidum,Chrysomphalus aonidum
"Pseudaulacaspis pentagona (Targioni Tozzetti, 1886)",8321970,Insecta,GBIF Backbone Taxonomy,Diaspididae,Pseudaulacaspis,True,Animalia,Hemiptera,Arthropoda,"Pseudaulacaspis pentagona (Targioni Tozzetti, 1886)",8321970,Pseudaulacaspis pentagona,Pseudaulacaspis pentagona
"Planococcus lilacinus (Cockerell, 1905)",5164205,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Planococcus,True,Animalia,Hemiptera,Arthropoda,"Planococcus lilacinus (Cockerell, 1905)",5164205,Planococcus lilacinus,Planococcus lilacinus
"Pseudococcus marshallensis Beardsley, 1966",2095178,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Pseudococcus,True,Animalia,Hemiptera,Arthropoda,"Pseudococcus marshallensis Beardsley, 1966",2095178,Pseudococcus marshallensis,Pseudococcus marshallensis
"Xenaleyrodes artocarpi Takahashi, 1936",4771658,Insecta,GBIF Backbone Taxonomy,Aleyrodidae,Xenaleyrodes,True,Animalia,Hemiptera,Arthropoda,"Xenaleyrodes artocarpi Takahashi, 1936",4771658,Xenaleyrodes artocarpi,Xenaleyrodes artocarpi
"Asterolecanium pustulans (Cockerell, 1892)",4290170,Insecta,GBIF Backbone Taxonomy,Asterolecaniidae,Asterolecanium,True,Animalia,Hemiptera,Arthropoda,"Asterolecanium pustulans (Cockerell, 1892)",4290170,Asterolecanium pustulans,Asterolecanium pustulans
"Icerya purchasi Maskell, 1878",2080592,Insecta,GBIF Backbone Taxonomy,Margarodidae,Icerya,True,Animalia,Hemiptera,Arthropoda,"Icerya purchasi Maskell, 1878",2080592,Icerya purchasi,Icerya purchasi
"Phaciocephalus onoi Metcalf, 1954",2062150,Insecta,GBIF Backbone Taxonomy,Derbidae,Phaciocephalus,True,Animalia,Hemiptera,Arthropoda,"Phaciocephalus onoi Metcalf, 1954",2062150,Phaciocephalus onoi,Phaciocephalus onoi
"Pseudococcus trukensis Beardsley, 1966",2095136,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Pseudococcus,True,Animalia,Hemiptera,Arthropoda,"Pseudococcus trukensis Beardsley, 1966",2095136,Pseudococcus trukensis,Pseudococcus trukensis
"Ceroplastes rubens Maskell, 1893",2092326,Insecta,GBIF Backbone Taxonomy,Coccidae,Ceroplastes,True,Animalia,Hemiptera,Arthropoda,"Ceroplastes rubens Maskell, 1893",2092326,Ceroplastes rubens,Ceroplastes rubens
Brassica L.,3042506,Magnoliopsida,GBIF Backbone Taxonomy,Brassicaceae,Brassica,True,Plantae,Brassicales,Tracheophyta,Brassica L.,3042506,,Brassica
"Liriomyza brassicae (Riley, 1885)",1553327,Insecta,GBIF Backbone Taxonomy,Agromyzidae,Liriomyza,True,Animalia,Diptera,Arthropoda,"Liriomyza brassicae (Riley, 1885)",1553327,Liriomyza brassicae,Liriomyza brassicae
"Lipaphis erysimi (Kaltenbach, 1843)",2077143,Insecta,GBIF Backbone Taxonomy,Aphididae,Lipaphis,True,Animalia,Hemiptera,Arthropoda,"Lipaphis erysimi (Kaltenbach, 1843)",2077143,Lipaphis erysimi,Lipaphis erysimi
Heliothis zea,s_5197427,,EOL,,,True,,,,Heliothis zea,s_5197427,,Heliothis zea
"Hellula undalis Fabricius, 1781",1879408,Insecta,GBIF Backbone Taxonomy,Crambidae,Hellula,True,Animalia,Lepidoptera,Arthropoda,"Hellula undalis Fabricius, 1781",1879408,Hellula undalis,Hellula undalis
"Plutella xylostella Linnaeus, 1767",1831136,Insecta,GBIF Backbone Taxonomy,Plutellidae,Plutella,True,Animalia,Lepidoptera,Arthropoda,"Plutella xylostella Linnaeus, 1767",1831136,Plutella xylostella,Plutella xylostella
"Crocidolomia binotalis Zeller, 1852",1879345,Insecta,GBIF Backbone Taxonomy,Crambidae,Crocidolomia,True,Animalia,Lepidoptera,Arthropoda,"Crocidolomia binotalis Zeller, 1852",1879345,Crocidolomia binotalis,Crocidolomia binotalis
Manihot esculenta Crantz,3060998,Magnoliopsida,GBIF Backbone Taxonomy,Euphorbiaceae,Manihot,True,Plantae,Malpighiales,Tracheophyta,Manihot esculenta Crantz,3060998,Manihot esculenta,Manihot esculenta
"Tetranychus Dufour, 1832",2130777,Arachnida,GBIF Backbone Taxonomy,Tetranychidae,Tetranychus,True,Animalia,Prostigmata,Arthropoda,"Tetranychus Dufour, 1832",2130777,,Tetranychus
"Tetranychus truncatus Ehara, 1956",2129807,Arachnida,GBIF Backbone Taxonomy,Tetranychidae,Tetranychus,True,Animalia,Prostigmata,Arthropoda,"Tetranychus truncatus Ehara, 1956",2129807,Tetranychus truncatus,Tetranychus truncatus
"Parasaissetia nigra (Nietner, 1861)",8198400,Insecta,GBIF Backbone Taxonomy,Coccidae,Parasaissetia,True,Animalia,Hemiptera,Arthropoda,"Parasaissetia nigra Takahashi, 1955",2092096,Parasaissetia nigra,Parasaissetia nigra
"Phenacoccus madeirensis Green, 1923",2096180,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Phenacoccus,True,Animalia,Hemiptera,Arthropoda,"Phenacoccus madeirensis Green, 1923",2096180,Phenacoccus madeirensis,Phenacoccus madeirensis
Theobroma cacao L.,3152205,Magnoliopsida,GBIF Backbone Taxonomy,Malvaceae,Theobroma,True,Plantae,Malvales,Tracheophyta,Theobroma cacao L.,3152205,Theobroma cacao,Theobroma cacao
"Xyleborus similis Eggers, 1927c",7409593,Insecta,GBIF Backbone Taxonomy,Curculionidae,Xyleborus,True,Animalia,Coleoptera,Arthropoda,"Xyleborus similis Eggers, 1927c",7409593,Xyleborus similis,Xyleborus similis
"Pelargoderus luteosparsus (Matsushita, 1935)",1102275,Insecta,GBIF Backbone Taxonomy,Cerambycidae,Pelargoderus,True,Animalia,Coleoptera,Arthropoda,"Pelargoderus luteosparsus (Matsushita, 1935)",1102275,Pelargoderus luteosparsus,Pelargoderus luteosparsus
Coenobius (Coenobius) glochidionis,128109614,,Index to Organism Names,,,True,,,,Coenobius (Coenobius) glochidionis,128109614,,Coenobius glochidionis
"Xyleborus ferrugineus Wood & Bright, 1992",5020459,Insecta,GBIF Backbone Taxonomy,Curculionidae,Xyleborus,True,Animalia,Coleoptera,Arthropoda,"Xyleborus ferrugineus Wood & Bright, 1992",5020459,Xyleborus ferrugineus,Xyleborus ferrugineus
"Eusyphax bivittatus (Metcalf, 1946)",7375840,Insecta,GBIF Backbone Taxonomy,Derbidae,Eusyphax,True,Animalia,Hemiptera,Arthropoda,"Eusyphax bivittatus (Metcalf, 1946)",7375840,Eusyphax bivittatus,Eusyphax bivittatus
Aphis gossypii subsp. gossypii,7199251,Insecta,GBIF Backbone Taxonomy,Aphididae,Aphis,True,Animalia,Hemiptera,Arthropoda,Toxoptera aurantii,2075867,Aphis gossypii,Toxoptera aurantii
"Tiracola plagiata Walker, 1857",1762657,Insecta,GBIF Backbone Taxonomy,Noctuidae,Tiracola,True,Animalia,Lepidoptera,Arthropoda,"Tiracola plagiata Walker, 1857",1762657,Tiracola plagiata,Tiracola plagiata
Cocos nucifera L.,2735117,Liliopsida,GBIF Backbone Taxonomy,Arecaceae,Cocos,True,Plantae,Arecales,Tracheophyta,Cocos nucifera L.,2735117,Cocos nucifera,Cocos nucifera
"Brontispa chalybeipennis (Zacher, 1913)",1048753,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Brontispa,True,Animalia,Coleoptera,Arthropoda,"Brontispa chalybeipennis (Zacher, 1913)",1048753,Brontispa chalybeipennis,Brontispa chalybeipennis
"Brontispa mariana Spaeth, 1937",1048754,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Brontispa,True,Animalia,Coleoptera,Arthropoda,"Brontispa mariana Spaeth, 1937",1048754,Brontispa mariana,Brontispa mariana
"Brontispa palauensis (Esaki & Chûjô, 1940)",1048752,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Brontispa,True,Animalia,Coleoptera,Arthropoda,"Brontispa palauensis (Esaki & Chûjô, 1940)",1048752,Brontispa palauensis,Brontispa palauensis
"Caroliniella aenescens Blair, 1940",1143224,Insecta,GBIF Backbone Taxonomy,Cerambycidae,Caroliniella,True,Animalia,Coleoptera,Arthropoda,"Caroliniella aenescens Blair, 1940",1143224,Caroliniella aenescens,Caroliniella aenescens
"Trochorhopalus strangulatus Hustache, A., 1924",1169308,Insecta,GBIF Backbone Taxonomy,Dryophthoridae,Trochorhopalus,True,Animalia,Coleoptera,Arthropoda,"Trochorhopalus strangulatus Hustache, A., 1924",1169308,Trochorhopalus strangulatus,Trochorhopalus strangulatus
"Rhabdoscelus Marshall, 1943",3263747,Insecta,GBIF Backbone Taxonomy,Curculionidae,Rhabdoscelus,False,Animalia,Coleoptera,Arthropoda,"Rhabdoscelus Marshall, 1943",3263747,,Rhabdoscelus asperipennis
"Astegopteryx rhapidis (van der Goot, 1917)",2075144,Insecta,GBIF Backbone Taxonomy,Aphididae,Astegopteryx,True,Animalia,Hemiptera,Arthropoda,"Astegopteryx rhapidis (van der Goot, 1917)",2075144,Astegopteryx rhapidis,Astegopteryx rhapidis
"Aleurocanthus palauensis Kuwana, 1931",8354964,Insecta,GBIF Backbone Taxonomy,Aleyrodidae,Aleurocanthus,True,Animalia,Hemiptera,Arthropoda,"Aleurocanthus palauensis Kuwana, 1931",8354964,Aleurocanthus palauensis,Aleurocanthus palauensis
"Aleurodicus dispersus Russell, 1965",2012122,Insecta,GBIF Backbone Taxonomy,Aleyrodidae,Aleurodicus,True,Animalia,Hemiptera,Arthropoda,"Aleurodicus dispersus Russell, 1965",2012122,Aleurodicus dispersus,Aleurodicus dispersus
"Aonidiella comperei McKenzie, 1937",2082986,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aonidiella,True,Animalia,Hemiptera,Arthropoda,"Aonidiella comperei McKenzie, 1937",2082986,Aonidiella comperei,Aonidiella comperei
"Aonidiella eremocitri McKenzie, 1937",2083038,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aonidiella,True,Animalia,Hemiptera,Arthropoda,"Aonidiella eremocitri McKenzie, 1937",2083038,Aonidiella eremocitri,Aonidiella eremocitri
"Lepidosaphes esakii Takahashi, 1939",2089305,Insecta,GBIF Backbone Taxonomy,Diaspididae,Lepidosaphes,True,Animalia,Hemiptera,Arthropoda,"Lepidosaphes esakii Takahashi, 1939",2089305,Lepidosaphes esakii,Lepidosaphes esakii
"Lamenia numitor Fennah, 1956",2063223,Insecta,GBIF Backbone Taxonomy,Derbidae,Lamenia,True,Animalia,Hemiptera,Arthropoda,"Lamenia numitor Fennah, 1956",2063223,Lamenia numitor,Lamenia numitor
"Lallemandana phalerata (Stål, 1854)",2016693,Insecta,GBIF Backbone Taxonomy,Aphrophoridae,Lallemandana,True,Animalia,Hemiptera,Arthropoda,"Lallemandana phalerata (Stål, 1854)",2016693,Lallemandana phalerata,Lallemandana phalerata
"Leptynoptera sulfurea Crawford, 1919",2014481,Insecta,GBIF Backbone Taxonomy,Triozidae,Leptynoptera,True,Animalia,Hemiptera,Arthropoda,"Leptynoptera sulfurea Crawford, 1919",2014481,Leptynoptera sulfurea,Leptynoptera sulfurea
"Palmicultor guamensis Beardsley, 1966",2093292,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Palmicultor,True,Animalia,Hemiptera,Arthropoda,"Palmicultor guamensis Beardsley, 1966",2093292,Palmicultor guamensis,Palmicultor guamensis
"Furcaspis oceanica Lindinger, 1909",2086435,Insecta,GBIF Backbone Taxonomy,Diaspididae,Furcaspis,True,Animalia,Hemiptera,Arthropoda,"Furcaspis oceanica Borchsenius, 1966",7430813,Furcaspis oceanica,Furcaspis oceanica
"Flaccia dione Fennah, 1956",2061914,Insecta,GBIF Backbone Taxonomy,Derbidae,Flaccia,True,Animalia,Hemiptera,Arthropoda,"Flaccia dione Fennah, 1956",2061914,Flaccia dione,Flaccia dione
"Exitianus plebeius Kirkaldy, 1906",2048922,Insecta,GBIF Backbone Taxonomy,Cicadellidae,Exitianus,True,Animalia,Hemiptera,Arthropoda,"Exitianus plebeius Kirkaldy, 1906",2048922,Exitianus plebeius,Exitianus plebeius
"Dysmicoccus cocotis (Maskell, 1890)",2092785,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Dysmicoccus,True,Animalia,Hemiptera,Arthropoda,"Dysmicoccus saipanensis Beardsley, 1966",2092786,Dysmicoccus cocotis,Dysmicoccus saipanensis
"Swezeyia zephyra Fennah, 1956",2062771,Insecta,GBIF Backbone Taxonomy,Derbidae,Swezeyia,False,Animalia,Hemiptera,Arthropoda,"Swezeyia zephyra Fennah, 1956",2062771,Swezeyia zephyra,Swezeyia zephyrus
"Protalebrella brasiliensis (Baker, 1899)",2031856,Insecta,GBIF Backbone Taxonomy,Cicadellidae,Protalebrella,False,Animalia,Hemiptera,Arthropoda,"Protalebrella brasiliensis (Baker, 1899)",2031856,Protalebrella brasiliensis,Protalebrella braziliensis
"Pinnaspis strachani (Cooley, 1899)",7663030,Insecta,GBIF Backbone Taxonomy,Diaspididae,Pinnaspis,True,Animalia,Hemiptera,Arthropoda,"Pinnaspis strachani Ferris & Rao, 1947",2086223,Pinnaspis strachani,Pinnaspis strachani
Neotermes kanehirae,98972848,,uBio NameBank,,,True,,,,Neotermes kanehirae,98972848,,Neotermes kanehirae
"Agonoxena pyrogramma Meyrick, 1924",1853138,Insecta,GBIF Backbone Taxonomy,Agonoxenidae,Agonoxena,True,Animalia,Lepidoptera,Arthropoda,"Agonoxena pyrogramma Meyrick, 1924",1853138,Agonoxena pyrogramma,Agonoxena pyrogramma
"Segestes unicolor Redtenbacher, 1892",1694658,Insecta,GBIF Backbone Taxonomy,Tettigoniidae,Segestes,True,Animalia,Orthoptera,Arthropoda,"Segestes unicolor Redtenbacher, 1892",1694658,Segestes unicolor,Segestes unicolor
"Acanthograeffea denticulata (Redtenbacher, 1908)",1412321,Insecta,GBIF Backbone Taxonomy,Phasmatidae,Acanthograeffea,True,Animalia,Phasmida,Arthropoda,"Acanthograeffea denticulata (Redtenbacher, 1908)",1412321,Acanthograeffea denticulata,Acanthograeffea denticulata
"Acanthograeffea modesta Günther, 1932",1412323,Insecta,GBIF Backbone Taxonomy,Phasmatidae,Acanthograeffea,True,Animalia,Phasmida,Arthropoda,"Acanthograeffea modesta Günther, 1932",1412323,Acanthograeffea modesta,Acanthograeffea modesta
Coffea L.,2895315,Magnoliopsida,GBIF Backbone Taxonomy,Rubiaceae,Coffea,True,Plantae,Gentianales,Tracheophyta,Coffea L.,2895315,,Coffea
"Hypothenemus hampei Wood & Bright, 1992",7766801,Insecta,GBIF Backbone Taxonomy,Curculionidae,Hypothenemus,True,Animalia,Coleoptera,Arthropoda,"Hypothenemus hampei Wood & Bright, 1992",7766801,Hypothenemus hampei,Hypothenemus hampei
"Xyleborus morigerus Blandford, 1894b",5020248,Insecta,GBIF Backbone Taxonomy,Curculionidae,Xyleborus,True,Animalia,Coleoptera,Arthropoda,"Xyleborus morigerus Blandford, 1894b",5020248,Xyleborus morigerus,Xyleborus morigerus
"Saissetia miranda (Cockerell & Parrott in Cockerell, 1899)",8259259,Insecta,GBIF Backbone Taxonomy,Coccidae,Saissetia,True,Animalia,Hemiptera,Arthropoda,"Saissetia oleae Sanders, 1909",5163435,Saissetia miranda,Saissetia oleae
"Pulvinaria psidii Maskell, 1893",2091992,Insecta,GBIF Backbone Taxonomy,Coccidae,Pulvinaria,True,Animalia,Hemiptera,Arthropoda,"Chloropulvinaria psidii Borchsenius, 1957",2091993,Pulvinaria psidii,Chloropulvinaria psidii
"Duplaspidiotus tesseratus (Grandpré & Charmoy, 1899)",7908854,Insecta,GBIF Backbone Taxonomy,Diaspididae,Duplaspidiotus,True,Animalia,Hemiptera,Arthropoda,"Duplaspidiotus tesseratus (Grandpré & Charmoy, 1899)",7908854,Duplaspidiotus tesseratus,Duplaspidiotus tesseratus
"Aleurodothrips fasciapennis (Franklin, 1908)",1420197,Insecta,GBIF Backbone Taxonomy,Phlaeothripidae,Aleurodothrips,True,Animalia,Thysanoptera,Arthropoda,"Aleurodothrips fasciapennis (Franklin, 1908)",1420197,Aleurodothrips fasciapennis,Aleurodothrips fasciapennis
"Karnyothrips melaleucus (Bagnall, 1911)",1420160,Insecta,GBIF Backbone Taxonomy,Phlaeothripidae,Karnyothrips,False,Animalia,Thysanoptera,Arthropoda,"Karnyothrips melaleucus (Bagnall, 1911)",1420160,Karnyothrips melaleucus,Karnyothrips melaleuca
Gossypium L.,3152652,Magnoliopsida,GBIF Backbone Taxonomy,Malvaceae,Gossypium,True,Plantae,Malvales,Tracheophyta,Gossypium L.,3152652,,Gossypium
"Tetranychus urticae Koch, 1836",2130185,Arachnida,GBIF Backbone Taxonomy,Tetranychidae,Tetranychus,True,Animalia,Prostigmata,Arthropoda,"Tetranychus cinnabarinus (Boisduval, 1867)",2130191,Tetranychus urticae,Tetranychus cinnabarinus
"Oxycarenus bicolor Fieber, 1852",4771134,Insecta,GBIF Backbone Taxonomy,Lygaeidae,Oxycarenus,True,Animalia,Hemiptera,Arthropoda,"Oxycarenus bicolor Fieber, 1852",4771134,Oxycarenus bicolor,Oxycarenus bicolor
Sundapteryx biguttula (Ishida 1913),127467843,,Index to Organism Names,,,True,,,,Sundapteryx biguttula (Ishida 1913),127467843,,Sundapteryx biguttula
"Anomis erosa Hübner, 1818",1785024,Insecta,GBIF Backbone Taxonomy,Noctuidae,Anomis,True,Animalia,Lepidoptera,Arthropoda,"Anomis erosa Hübner, 1818",1785024,Anomis erosa,Anomis erosa
Diaphania indica,390977,Insecta,NCBI,Crambidae,Diaphania,True,Metazoa,Lepidoptera,Arthropoda,Diaphania indica,390977,Diaphania indica,Diaphania indica
Codiaeum variegatum (L.) Blume,7754956,Magnoliopsida,GBIF Backbone Taxonomy,Euphorbiaceae,Codiaeum,True,Plantae,Malpighiales,Tracheophyta,Codiaeum variegatum (L.) Blume,7754956,Codiaeum variegatum,Codiaeum variegatum
"Trigonops Guérin-Ménéville, 1841",1225109,Insecta,GBIF Backbone Taxonomy,Curculionidae,Trigonops,False,Animalia,Coleoptera,Arthropoda,"Trigonops Guérin-Ménéville, 1841",1225109,,Trigonops hirsuta
"Trigonops Guérin-Ménéville, 1841",1225109,Insecta,GBIF Backbone Taxonomy,Curculionidae,Trigonops,False,Animalia,Coleoptera,Arthropoda,"Trigonops Guérin-Ménéville, 1841",1225109,,Trigonops inusitata
"Lepidosaphes tokionis (Kuwana, 1902)",2089086,Insecta,GBIF Backbone Taxonomy,Diaspididae,Lepidosaphes,True,Animalia,Hemiptera,Arthropoda,"Lepidosaphes tokionis (Kuwana, 1902)",2089086,Lepidosaphes tokionis,Lepidosaphes tokionis
"Acanthodelta janata Linnaeus, 1758",5109097,Insecta,GBIF Backbone Taxonomy,Noctuidae,Acanthodelta,True,Animalia,Lepidoptera,Arthropoda,Achaea janata (Linnaeus),5113950,Acanthodelta janata,Achaea janata
Cucurbitaceae,6634,Magnoliopsida,GBIF Backbone Taxonomy,Cucurbitaceae,,True,Plantae,Cucurbitales,Tracheophyta,Cucurbitaceae,6634,,Cucurbitaceae
"Aulacophora Chevrolat in d'Orbigny, 1842",3260118,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Aulacophora,False,Animalia,Coleoptera,Arthropoda,"Aulacophora Chevrolat in d'Orbigny, 1842",3260118,,Aulacophora flavomarginata
"Nanyozo viridilineatus Kono, 1942",7733031,Insecta,GBIF Backbone Taxonomy,Curculionidae,Nanyozo,True,Animalia,Coleoptera,Arthropoda,"Nanyozo viridilineatus Kono, 1942",7733031,Nanyozo viridilineatus,Nanyozo viridilineatus
Aulacophora marginalis Chapuis 1876,127367029,,Index to Organism Names,,,True,,,,Aulacophora marginalis Chapuis 1876,127367029,,Aulacophora marginalis
"Aulacophora abdominalis (Fabricius, 1781)",5808809,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Aulacophora,True,Animalia,Coleoptera,Arthropoda,"Aulacophora similis Maulik, 1929",5808814,Aulacophora abdominalis,Aulacophora similis
"Aulacophora quadrimaculata (Fabricius, 1781)",5808792,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Aulacophora,True,Animalia,Coleoptera,Arthropoda,"Aulacophora quadrimaculata (Fabricius, 1781)",5808792,Aulacophora quadrimaculata,Aulacophora quadrimaculata
"Physomerus grossipes (Fabricius, 1794)",5733019,Insecta,GBIF Backbone Taxonomy,Coreidae,Physomerus,True,Animalia,Hemiptera,Arthropoda,"Physomerus grossipes (Fabricius, 1794)",5733019,Physomerus grossipes,Physomerus grossipes
"Megymenum affine Boisduval, 1835",4781480,Insecta,GBIF Backbone Taxonomy,Dinidoridae,Megymenum,True,Animalia,Hemiptera,Arthropoda,"Megymenum affine Boisduval, 1835",4781480,Megymenum affine,Megymenum affine
"Halticus insularis Usinger, 1946",6130167,Insecta,GBIF Backbone Taxonomy,Miridae,Halticus,True,Animalia,Hemiptera,Arthropoda,"Halticus insularis Usinger, 1946",6130167,Halticus insularis,Halticus insularis
"Lepidosaphes beckii (Newman, 1869)",2089006,Insecta,GBIF Backbone Taxonomy,Diaspididae,Lepidosaphes,True,Animalia,Hemiptera,Arthropoda,"Lepidosaphes beckii (Newman, 1869)",2089006,Lepidosaphes beckii,Lepidosaphes beckii
Diaphania hyalinata,1209549,Insecta,NCBI,Crambidae,Diaphania,True,Metazoa,Lepidoptera,Arthropoda,Diaphania hyalinata,1209549,Diaphania hyalinata,Diaphania hyalinata
"Stenocatantops splendens (Thunberg, 1815)",1712231,Insecta,GBIF Backbone Taxonomy,Acrididae,Stenocatantops,True,Animalia,Orthoptera,Arthropoda,"Stenocatantops splendens (Thunberg, 1815)",1712231,Stenocatantops splendens,Stenocatantops splendens
Cycas L.,2683206,Cycadopsida,GBIF Backbone Taxonomy,Cycadaceae,Cycas,True,Plantae,Cycadales,Tracheophyta,Cycas L.,2683206,,Cycas
"Anaballus amplicollis Fairmaire, 1849",4291693,Insecta,GBIF Backbone Taxonomy,Curculionidae,Anaballus,True,Animalia,Coleoptera,Arthropoda,"Anaballus amplicollis Fairmaire, 1849",4291693,Anaballus amplicollis,Anaballus amplicollis
"Alciphron glaucus (Fabricius, 1775)",4782385,Insecta,GBIF Backbone Taxonomy,Pentatomidae,Alciphron,True,Animalia,Hemiptera,Arthropoda,"Alciphron glaucus (Fabricius, 1775)",4782385,Alciphron glaucus,Alciphron glaucus
"Lepidosaphes carolinensis Beardsley, 1966",2089229,Insecta,GBIF Backbone Taxonomy,Diaspididae,Lepidosaphes,True,Animalia,Hemiptera,Arthropoda,"Lepidosaphes carolinensis Beardsley, 1966",2089229,Lepidosaphes carolinensis,Lepidosaphes carolinensis
Chilades pandava,/en/edales_pandava,,Freebase,,,True,,,,Chilades pandava,/en/edales_pandava,,Chilades pandava
Solanum melongena Wall.,8347557,Magnoliopsida,GBIF Backbone Taxonomy,Solanaceae,Solanum,True,Plantae,Solanales,Tracheophyta,Solanum melongena Wall.,8347557,Solanum melongena,Solanum melongena
"Epitrix hirtipennis (F. E. Melsheimer, 1847)",1048253,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Epitrix,True,Animalia,Coleoptera,Arthropoda,"Epitrix hirtipennis (F. E. Melsheimer, 1847)",1048253,Epitrix hirtipennis,Epitrix hirtipennis
,,,,,,False,,,,,,,Epilachna vigintisexpunctata philippensis
"Lygus kusaiensis Carvalho, 1956",8324342,Insecta,GBIF Backbone Taxonomy,Miridae,Lygus,True,Animalia,Hemiptera,Arthropoda,"Lygus kusaiensis Carvalho, 1956",8324342,Lygus kusaiensis,Lygus kusaiensis
"Protoparce Burmeister, 1855",4703461,Insecta,GBIF Backbone Taxonomy,Sphingidae,Protoparce,True,Animalia,Lepidoptera,Arthropoda,"Protoparce Burmeister, 1855",4703461,,Protoparce
Ficus nodosa Teijsm. & Binn.,5570676,Magnoliopsida,GBIF Backbone Taxonomy,Moraceae,Ficus,True,Plantae,Rosales,Tracheophyta,Ficus,8290254,Ficus nodosa,Ficus
"Ceroplastes pseudoceriferus Green, 1935",2092298,Insecta,GBIF Backbone Taxonomy,Coccidae,Ceroplastes,True,Animalia,Hemiptera,Arthropoda,"Ceroplastes ceriferus Green, 1921",2092299,Ceroplastes pseudoceriferus,Ceroplastes ceriferus
"Euploea leucostictos Gmelin, 1788",5136414,Insecta,GBIF Backbone Taxonomy,Nymphalidae,Euploea,True,Animalia,Lepidoptera,Arthropoda,"Euploea leucostictos Gmelin, 1788",5136414,Euploea leucostictos,Euploea leucostictos
Zingiber officinale Roscoe,2757280,Liliopsida,GBIF Backbone Taxonomy,Zingiberaceae,Zingiber,True,Plantae,Zingiberales,Tracheophyta,Zingiber officinale Roscoe,2757280,Zingiber officinale,Zingiber officinale
"Ostrinia furnacalis Guenée, 1854",1886362,Insecta,GBIF Backbone Taxonomy,Crambidae,Ostrinia,True,Animalia,Lepidoptera,Arthropoda,"Ostrinia furnacalis Guenée, 1854",1886362,Ostrinia furnacalis,Ostrinia furnacalis
